rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv12,0,      3.0000,   -301.0769,      0.2214,     82.0000,   -373.5394,      0.1395,     69.0000,   -373.5394,      0.1395,     69.0000
health_private_surv13,0,      3.0000,    148.0509,      0.2693,     82.0000,    183.7971,      0.1019,     69.0000,    183.7971,      0.1019,     69.0000
health_private_surv14,0,      3.0000,     83.4408,      0.4996,     82.0000,     76.7305,      0.4152,     69.0000,     76.7305,      0.4152,     69.0000
health_private_surv15,0,      3.0000,  -1029.5039,      0.0823,     87.0000,   -925.3802,      0.1405,     74.0000,   -925.3802,      0.1405,     74.0000
health_private_surv16,0,      3.0000,     31.2575,      0.9034,     87.0000,   -174.3847,      0.4367,     74.0000,   -174.3847,      0.4367,     74.0000
health_private_surv17,0,      3.0000,   -165.8225,      0.5344,     87.0000,   -458.0892,      0.0372,     74.0000,   -458.0892,      0.0372,     74.0000
health_private_surv18,0,      3.0000,   -233.5280,      0.4443,     87.0000,   -631.7326,      0.0142,     74.0000,   -631.7326,      0.0142,     74.0000
health_private_surv19,0,      3.0000,    -57.6212,      0.8226,     87.0000,   -261.4764,      0.2641,     74.0000,   -261.4764,      0.2641,     74.0000
health_private_surv20,0,      3.0000,   -183.2189,      0.4766,     87.0000,   -426.9706,      0.0662,     74.0000,   -426.9706,      0.0662,     74.0000
health_private_surv21,0,      3.0000,    192.8647,      0.6867,     87.0000,   -151.3847,      0.6216,     74.0000,   -151.3847,      0.6216,     74.0000
health_private_surv22,0,      3.0000,     -7.7433,      0.9872,     87.0000,    561.0274,      0.2035,     74.0000,    561.0274,      0.2035,     74.0000
health_private_surv23,0,      3.0000,   -586.2903,      0.0781,     87.0000,   -390.5598,      0.1977,     74.0000,   -390.5598,      0.1977,     74.0000
health_private_surv24,0,      3.0000,   -391.3871,      0.3192,     87.0000,    -91.6924,      0.8006,     74.0000,    -91.6924,      0.8006,     74.0000
health_private_surv25,0,      3.0000,    288.8169,      0.5992,     87.0000,     23.9658,      0.9478,     74.0000,     23.9658,      0.9478,     74.0000
health_private_surv26,0,      3.0000,   -523.9801,      0.2619,     87.0000,   -249.3366,      0.5486,     74.0000,   -249.3366,      0.5486,     74.0000
health_private_surv27,0,      3.0000,    -27.8713,      0.9344,     87.0000,    231.3324,      0.4491,     74.0000,    231.3324,      0.4491,     74.0000
health_private_surv28,0,      3.0000,   -272.4892,      0.2679,     87.0000,   -216.1446,      0.1038,     74.0000,   -216.1446,      0.1038,     74.0000
health_private_surv29,0,      3.0000,      0.5095,      0.9989,     87.0000,    341.3044,      0.2700,     74.0000,    341.3044,      0.2700,     74.0000
health_private_surv30,0,      3.0000,   -489.4068,      0.3445,     31.0000,   -335.9429,      0.7385,     25.0000,   -765.0884,      0.4921,     25.0000
health_private_surv31,0,      3.0000,   -235.5339,      0.5842,     47.0000,   -247.4930,      0.7139,     38.0000,    382.9757,      0.5817,     38.0000
health_private_surv32,0,      3.0000,   -232.3424,      0.5820,     50.0000,   -136.9493,      0.8318,     41.0000,    696.5633,      0.2984,     41.0000
health_private_surv33,0,      3.0000,    -10.3660,      0.9804,     50.0000,   -149.6227,      0.8106,     41.0000,    638.8583,      0.3252,     41.0000
health_private_surv34,0,      3.0000,    265.1761,      0.5492,     50.0000,    -79.0584,      0.8985,     41.0000,    681.3456,      0.2908,     41.0000
health_private_surv35,0,      3.0000,    153.4233,      0.7408,     50.0000,   -146.0808,      0.8160,     41.0000,    684.9356,      0.2946,     41.0000
health_private_surv36,0,      3.0000,     11.4983,      0.9810,     50.0000,   -271.7464,      0.6732,     41.0000,    622.6424,      0.3525,     41.0000
health_private_surv37,0,      3.0000,    124.8534,      0.7982,     50.0000,   -155.9364,      0.8055,     41.0000,    776.4219,      0.2479,     41.0000
health_private_surv38,0,      3.0000,    146.7388,      0.7624,     50.0000,   -110.3874,      0.8586,     41.0000,    841.3604,      0.2087,     41.0000
health_private_surv39,0,      3.0000,    250.1780,      0.5870,     52.0000,    226.2969,      0.6628,     43.0000,    729.9447,      0.1910,     43.0000
health_private_surv40,0,      3.0000,    111.0211,      0.8049,     52.0000,    153.5480,      0.7590,     43.0000,    598.8418,      0.2554,     43.0000
health_private_surv41,0,      3.0000,    381.8597,      0.4004,     52.0000,    382.9977,      0.4314,     43.0000,    907.1426,      0.0796,     43.0000
health_private_surv42,0,      3.0000,    669.1834,      0.1694,     52.0000,    538.9703,      0.2925,     43.0000,   1083.1045,      0.0500,     43.0000
health_private_surv43,0,      3.0000,    574.2053,      0.2650,     52.0000,    543.1079,      0.3355,     43.0000,   1129.7838,      0.0602,     43.0000
health_private_surv44,0,      3.0000,    535.3149,      0.3314,     52.0000,    720.3724,      0.2385,     43.0000,   1252.9105,      0.0479,     43.0000
health_private_surv45,0,      3.0000,    488.6161,      0.4109,     52.0000,    906.4247,      0.1690,     43.0000,   1603.4827,      0.0236,     43.0000
health_private_surv46,0,      3.0000,    402.6162,      0.5331,     52.0000,    890.9409,      0.2086,     43.0000,   1756.0865,      0.0254,     43.0000
health_private_surv47,0,      3.0000,    358.4766,      0.6025,     52.0000,    791.8307,      0.2785,     43.0000,   1540.6241,      0.0483,     43.0000
health_private_surv48,0,      3.0000,    301.2087,      0.6750,     52.0000,    772.3655,      0.2946,     43.0000,   1352.1132,      0.0738,     43.0000
health_private_surv49,0,      3.0000,    448.5025,      0.5323,     52.0000,    802.2322,      0.2588,     43.0000,   1361.5444,      0.0617,     43.0000
health_private_surv50,0,      3.0000,    727.6610,      0.3217,     52.0000,   1030.2267,      0.1516,     43.0000,   1655.8163,      0.0271,     43.0000
health_private_surv51,0,      3.0000,   1054.7391,      0.1731,     52.0000,   1560.9132,      0.0349,     43.0000,   2193.4345,      0.0044,     43.0000
health_private_surv52,0,      3.0000,   1165.5877,      0.1451,     52.0000,   1871.9964,      0.0125,     43.0000,   2549.8911,      0.0012,     43.0000
health_private_surv53,0,      3.0000,    839.9829,      0.2972,     52.0000,   1603.7909,      0.0401,     43.0000,   2212.3081,      0.0052,     43.0000
health_private_surv54,0,      3.0000,    739.6094,      0.3917,     52.0000,   1366.4408,      0.1099,     43.0000,   1833.2406,      0.0264,     43.0000
health_private_surv55,0,      3.0000,    863.6249,      0.3843,     52.0000,   1547.8202,      0.1088,     43.0000,   2032.0219,      0.0285,     43.0000
health_private_surv56,0,      3.0000,    857.4504,      0.4343,     52.0000,   1777.2000,      0.1006,     43.0000,   2199.5992,      0.0323,     43.0000
health_private_surv57,0,      3.0000,    764.0152,      0.4968,     52.0000,   1802.4275,      0.0931,     43.0000,   2261.2124,      0.0269,     43.0000
health_private_surv58,0,      3.0000,    808.3489,      0.4933,     52.0000,   2111.4612,      0.0635,     43.0000,   2606.8908,      0.0187,     43.0000
health_private_surv59,0,      3.0000,   1044.1791,      0.3905,     52.0000,   2588.4501,      0.0281,     43.0000,   2946.8634,      0.0081,     43.0000
health_private_surv60,0,      3.0000,   1270.2566,      0.3225,     52.0000,   2792.4925,      0.0261,     43.0000,   3075.1566,      0.0085,     43.0000
health_private_surv61,0,      3.0000,   1590.3953,      0.2303,     52.0000,   3157.1781,      0.0156,     43.0000,   3308.4965,      0.0058,     43.0000
health_private_surv62,0,      3.0000,   1752.8461,      0.2061,     52.0000,   3367.5196,      0.0154,     43.0000,   3454.1912,      0.0066,     43.0000
health_private_surv63,0,      3.0000,   2021.9590,      0.1709,     52.0000,   3293.8171,      0.0265,     43.0000,   3373.0038,      0.0128,     43.0000
health_private_surv64,0,      3.0000,   2173.0584,      0.1623,     52.0000,   3181.3077,      0.0500,     43.0000,   3280.2970,      0.0276,     43.0000
health_private_surv65,0,      3.0000,   1855.2926,      0.1924,     52.0000,   3008.3336,      0.0367,     43.0000,   3291.1242,      0.0161,     43.0000
