rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,     51.1340,      0.5735,     46.0000,     95.8222,      0.2313,     40.0000,     95.8222,      0.2313,     40.0000
health_private_surv11,0,      0.0000,     83.1274,      0.3778,     46.0000,    129.7557,      0.0854,     40.0000,    129.7557,      0.0854,     40.0000
health_private_surv12,0,      0.0000,   -924.6924,      0.2815,     46.0000,   -526.9997,      0.6074,     40.0000,   -526.9997,      0.6074,     40.0000
health_private_surv13,0,      0.0000,   -102.1317,      0.4812,     46.0000,     10.4413,      0.9426,     40.0000,     10.4413,      0.9426,     40.0000
health_private_surv14,0,      0.0000,   -969.6813,      0.5543,     46.0000,  -1349.1990,      0.4545,     40.0000,  -1349.1990,      0.4545,     40.0000
health_private_surv15,0,      0.0000,    803.9791,      0.0395,     46.0000,    628.6865,      0.1688,     40.0000,    628.6865,      0.1688,     40.0000
health_private_surv16,0,      0.0000,   1659.4405,      0.4112,     46.0000,   -300.2168,      0.5443,     40.0000,   -300.2168,      0.5443,     40.0000
health_private_surv17,0,      0.0000,   1149.1020,      0.3934,     46.0000,   -385.1407,      0.4152,     40.0000,   -385.1407,      0.4152,     40.0000
health_private_surv18,0,      0.0000,    808.9937,      0.5901,     46.0000,   -789.8121,      0.2175,     40.0000,   -789.8121,      0.2175,     40.0000
health_private_surv19,0,      0.0000,   1363.2515,      0.4742,     46.0000,   -416.2237,      0.3760,     40.0000,   -416.2237,      0.3760,     40.0000
health_private_surv20,0,      0.0000,   1166.8082,      0.3354,     46.0000,    -40.6469,      0.9568,     40.0000,    -40.6469,      0.9568,     40.0000
health_private_surv21,0,      0.0000,    116.7036,      0.6029,     46.0000,    302.7285,      0.2053,     40.0000,    302.7285,      0.2053,     40.0000
health_private_surv22,0,      0.0000,     40.6637,      0.8179,     46.0000,    174.2796,      0.3521,     40.0000,    174.2796,      0.3521,     40.0000
health_private_surv23,0,      0.0000,     -5.3784,      0.9748,     46.0000,    149.1542,      0.4129,     40.0000,    149.1542,      0.4129,     40.0000
health_private_surv24,0,      0.0000,    -61.8553,      0.6753,     46.0000,     95.6719,      0.5234,     40.0000,     95.6719,      0.5234,     40.0000
health_private_surv25,0,      0.0000,   -118.3309,      0.3858,     46.0000,     36.6738,      0.7728,     40.0000,     36.6738,      0.7728,     40.0000
health_private_surv26,0,      0.0000,   -193.6599,      0.1573,     46.0000,    -57.2471,      0.6647,     40.0000,    -57.2471,      0.6647,     40.0000
health_private_surv27,0,      0.0000,   -236.7773,      0.0669,     46.0000,    -94.6932,      0.4067,     40.0000,    -94.6932,      0.4067,     40.0000
health_private_surv28,0,      0.0000,   -250.2316,      0.0787,     46.0000,   -167.2938,      0.2095,     40.0000,   -167.2938,      0.2095,     40.0000
health_private_surv29,0,      0.0000,   -147.2357,      0.3140,     46.0000,    -12.7000,      0.9183,     40.0000,    -12.7000,      0.9183,     40.0000
health_private_surv30,0,      0.0000,   3805.4703,      0.0295,     14.0000,   6465.3213,      0.0691,     11.0000,   6465.3213,      0.0691,     11.0000
health_private_surv31,0,      0.0000,   1343.7241,      0.1545,     23.0000,   1793.7163,      0.1781,     19.0000,   1860.4251,      0.1786,     19.0000
health_private_surv32,0,      0.0000,   1589.3080,      0.0886,     27.0000,   2319.9163,      0.0481,     23.0000,   2275.3231,      0.0600,     23.0000
health_private_surv33,0,      0.0000,   1653.5825,      0.0785,     27.0000,   2411.1261,      0.0421,     23.0000,   2408.1302,      0.0491,     23.0000
health_private_surv34,0,      0.0000,   1754.0862,      0.0550,     27.0000,   2501.5097,      0.0334,     23.0000,   2550.4880,      0.0380,     23.0000
health_private_surv35,0,      0.0000,   1747.0237,      0.0540,     27.0000,   2476.6246,      0.0341,     23.0000,   2543.8657,      0.0395,     23.0000
health_private_surv36,0,      0.0000,   1740.1161,      0.0594,     27.0000,   2418.2713,      0.0416,     23.0000,   2464.3480,      0.0497,     23.0000
health_private_surv37,0,      0.0000,   1845.9934,      0.0465,     27.0000,   2549.9620,      0.0311,     23.0000,   2549.3947,      0.0413,     23.0000
