rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv46,0,      1.0000,    -16.8678,      0.9917,     19.0000,  -1069.9179,      0.0030,     17.0000,  -1095.5467,      0.0025,     17.0000
health_private_surv47,0,      1.0000,   -139.0317,      0.9323,     19.0000,  -1518.8919,      0.0000,     17.0000,  -1522.1425,      0.0000,     17.0000
health_private_surv48,0,      1.0000,   -384.3755,      0.8154,     19.0000,  -1956.4491,      0.0000,     17.0000,  -1954.9579,      0.0000,     17.0000
health_private_surv49,0,      1.0000,   -335.0116,      0.8436,     19.0000,  -1818.6518,      0.0000,     17.0000,  -1820.5037,      0.0000,     17.0000
health_private_surv50,0,      1.0000,   -305.3995,      0.8642,     19.0000,  -1549.8736,      0.0014,     17.0000,  -1518.1989,      0.0012,     17.0000
health_private_surv51,0,      1.0000,   -184.0803,      0.9194,     19.0000,  -1813.8332,      0.0099,     17.0000,  -1778.7294,      0.0105,     17.0000
health_private_surv52,0,      1.0000,     19.2290,      0.9919,     19.0000,  -2198.0865,      0.0045,     17.0000,  -2182.6113,      0.0052,     17.0000
health_private_surv53,0,      1.0000,    451.3688,      0.8090,     19.0000,  -1491.2484,      0.0172,     17.0000,  -1460.3288,      0.0194,     17.0000
health_private_surv54,0,      1.0000,    886.6602,      0.6361,     19.0000,   -745.4728,      0.1906,     17.0000,   -695.9961,      0.2113,     17.0000
health_private_surv55,0,      1.0000,    730.6616,      0.7154,     19.0000,  -1375.0166,      0.0292,     17.0000,  -1334.6757,      0.0294,     17.0000
health_private_surv56,0,      1.0000,    707.0820,      0.7436,     19.0000,  -2207.7758,      0.0000,     17.0000,  -2187.0444,      0.0000,     17.0000
health_private_surv57,0,      1.0000,   1238.9859,      0.5577,     19.0000,  -1670.1224,      0.0108,     17.0000,  -1679.5809,      0.0054,     17.0000
health_private_surv58,0,      1.0000,   1780.9286,      0.4178,     19.0000,   -995.8849,      0.1128,     17.0000,  -1021.1867,      0.0768,     17.0000
