rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv9,1,      1.0000,  -1333.3183,      0.0159,    110.0000,  -2155.9762,      0.0076,     85.0000,  -2155.9762,      0.0076,     85.0000
health_private_surv10,1,      2.0000,    106.7328,      0.0799,    111.0000,    168.8222,      0.0019,     95.0000,    168.8222,      0.0019,     95.0000
health_private_surv11,1,      2.0000,    185.8825,      0.0017,    111.0000,    199.5484,      0.0000,     95.0000,    199.5484,      0.0000,     95.0000
health_private_surv12,1,      2.0000,    321.4308,      0.0001,    108.0000,    443.2082,      0.0000,     92.0000,    443.2082,      0.0000,     92.0000
health_private_surv13,1,      2.0000,    266.7656,      0.0005,    108.0000,    365.1522,      0.0000,     92.0000,    365.1522,      0.0000,     92.0000
health_private_surv14,1,      2.0000,   1335.0282,      0.1353,    108.0000,    665.6665,      0.4265,     92.0000,    665.6665,      0.4265,     92.0000
health_private_surv15,1,      2.0000,   -518.2032,      0.3650,    111.0000,    107.9239,      0.8638,     95.0000,    107.9239,      0.8638,     95.0000
health_private_surv16,1,      2.0000,   -129.8883,      0.7970,    111.0000,  -1026.9301,      0.0004,     95.0000,  -1026.9301,      0.0004,     95.0000
health_private_surv17,1,      2.0000,   -376.1449,      0.3691,    111.0000,  -1225.4111,      0.0000,     95.0000,  -1225.4111,      0.0000,     95.0000
health_private_surv18,1,      2.0000,   -285.5338,      0.4830,    111.0000,  -1191.1565,      0.0001,     95.0000,  -1191.1565,      0.0001,     95.0000
health_private_surv19,1,      2.0000,   -356.1183,      0.4652,    111.0000,  -1203.9292,      0.0001,     95.0000,  -1203.9292,      0.0001,     95.0000
health_private_surv20,1,      2.0000,   -147.6300,      0.6751,    111.0000,   -761.3593,      0.0051,     95.0000,   -761.3593,      0.0051,     95.0000
health_private_surv21,1,      2.0000,    157.6093,      0.5969,    111.0000,     90.3282,      0.7459,     95.0000,     90.3282,      0.7459,     95.0000
health_private_surv22,1,      2.0000,   1016.1787,      0.0053,    111.0000,   1097.4851,      0.0051,     95.0000,   1097.4851,      0.0051,     95.0000
health_private_surv23,1,      2.0000,     -3.5001,      0.9902,    111.0000,    466.0345,      0.0626,     95.0000,    466.0345,      0.0626,     95.0000
health_private_surv24,1,      2.0000,    974.5756,      0.0052,    111.0000,   1101.1243,      0.0019,     95.0000,   1101.1243,      0.0019,     95.0000
health_private_surv25,1,      2.0000,    351.5099,      0.1956,    111.0000,    279.3929,      0.2286,     95.0000,    279.3929,      0.2286,     95.0000
health_private_surv26,1,      2.0000,   1290.7479,      0.0031,    111.0000,   1350.3758,      0.0023,     95.0000,   1350.3758,      0.0023,     95.0000
health_private_surv27,1,      2.0000,    356.8942,      0.0114,    111.0000,    360.9269,      0.0038,     95.0000,    360.9269,      0.0038,     95.0000
health_private_surv28,1,      2.0000,    322.0819,      0.0279,    111.0000,    382.7720,      0.0009,     95.0000,    382.7720,      0.0009,     95.0000
health_private_surv29,1,      2.0000,    791.5399,      0.0009,    111.0000,    925.1127,      0.0002,     95.0000,    925.1127,      0.0002,     95.0000
health_private_surv30,1,      2.0000,   -703.5291,      0.4795,     18.0000,   4106.7950,,     15.0000,   4106.7950,,     15.0000
health_private_surv31,1,      2.0000,    160.2807,      0.7577,     50.0000,   -165.3309,      0.8376,     47.0000,   1836.7594,      0.0183,     47.0000
