rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv12,1,      0.0000,   -682.4544,      0.3204,     56.0000,   -319.7860,      0.7402,     47.0000,   -319.7860,      0.7402,     47.0000
health_private_surv13,1,      0.0000,   -116.0089,      0.3419,     56.0000,    -81.1727,      0.5768,     47.0000,    -81.1727,      0.5768,     47.0000
health_private_surv14,1,      0.0000,   1665.0900,      0.1460,     56.0000,   -200.7732,      0.2558,     47.0000,   -200.7732,      0.2558,     47.0000
health_private_surv15,1,      0.0000,    241.0107,      0.3051,     56.0000,    197.5954,      0.5502,     47.0000,    197.5954,      0.5502,     47.0000
health_private_surv16,1,      0.0000,   4724.6214,      0.0734,     56.0000,   -469.0334,      0.3748,     47.0000,   -469.0334,      0.3748,     47.0000
health_private_surv17,1,      0.0000,   3265.4938,      0.0570,     56.0000,   -547.9357,      0.3032,     47.0000,   -547.9357,      0.3032,     47.0000
health_private_surv18,1,      0.0000,   3302.8145,      0.0824,     56.0000,  -1079.9288,      0.0716,     47.0000,  -1079.9288,      0.0716,     47.0000
health_private_surv19,1,      0.0000,   4049.4069,      0.1048,     56.0000,   -540.3864,      0.2526,     47.0000,   -540.3864,      0.2526,     47.0000
health_private_surv20,1,      0.0000,   3348.4714,      0.0225,     56.0000,    405.5178,      0.6187,     47.0000,    405.5178,      0.6187,     47.0000
health_private_surv21,1,      0.0000,    -65.5954,      0.7543,     56.0000,    336.6960,      0.1812,     47.0000,    336.6960,      0.1812,     47.0000
health_private_surv22,1,      0.0000,    174.7365,      0.2446,     56.0000,    282.1367,      0.1238,     47.0000,    282.1367,      0.1238,     47.0000
health_private_surv23,1,      0.0000,    126.4960,      0.3537,     56.0000,    355.8680,      0.0289,     47.0000,    355.8680,      0.0289,     47.0000
health_private_surv24,1,      0.0000,      2.2814,      0.9863,     56.0000,    231.6137,      0.1262,     47.0000,    231.6137,      0.1262,     47.0000
health_private_surv25,1,      0.0000,   -147.4927,      0.1873,     56.0000,     44.7773,      0.6337,     47.0000,     44.7773,      0.6337,     47.0000
health_private_surv26,1,      0.0000,   -212.5166,      0.0501,     56.0000,    -46.7670,      0.6459,     47.0000,    -46.7670,      0.6459,     47.0000
health_private_surv27,1,      0.0000,   -223.8350,      0.0347,     56.0000,    -74.5916,      0.4061,     47.0000,    -74.5916,      0.4061,     47.0000
health_private_surv28,1,      0.0000,    -58.1568,      0.6216,     56.0000,    -41.8506,      0.6254,     47.0000,    -41.8506,      0.6254,     47.0000
health_private_surv29,1,      0.0000,    -64.5588,      0.6068,     56.0000,     -3.1142,      0.9754,     47.0000,     -3.1142,      0.9754,     47.0000
health_private_surv30,1,      0.0000,   -830.4949,      0.6371,     11.0000,      0.0000,,      6.0000,      0.0000,,      6.0000
health_private_surv31,1,      0.0000,   1626.7473,      0.1296,     19.0000,   2810.1440,,     13.0000,   2810.1440,,     13.0000
health_private_surv32,1,      0.0000,   2241.3972,      0.0179,     24.0000,   1469.1751,      0.0615,     18.0000,   1242.4427,      0.2373,     18.0000
health_private_surv33,1,      0.0000,   2444.6770,      0.0090,     24.0000,   1629.9428,      0.0314,     18.0000,   1419.2550,      0.1579,     18.0000
health_private_surv34,1,      0.0000,   2362.2232,      0.0085,     24.0000,   1659.7075,      0.0253,     18.0000,   1455.0174,      0.1363,     18.0000
health_private_surv35,1,      0.0000,   2080.4982,      0.0202,     24.0000,   1344.1338,      0.0447,     18.0000,   1171.2445,      0.2104,     18.0000
health_private_surv36,1,      0.0000,   2116.0355,      0.0241,     24.0000,   1240.3160,      0.0527,     18.0000,   1108.0928,      0.2245,     18.0000
health_private_surv37,1,      0.0000,   2315.8059,      0.0161,     24.0000,   1473.2211,      0.0238,     18.0000,   1328.1985,      0.1422,     18.0000
