rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv76,0,      1.0000,  12762.5863,      0.0336,     26.0000,  10324.7430,      0.0050,     24.0000,  10415.4264,      0.0044,     24.0000
health_private_surv77,0,      1.0000,  12919.4335,      0.0099,     26.0000,  13132.0997,      0.0004,     24.0000,  13249.2793,      0.0003,     24.0000
health_private_surv78,0,      1.0000,  13039.3675,      0.0084,     26.0000,  15183.5510,      0.0004,     24.0000,  15343.4522,      0.0003,     24.0000
health_private_surv79,0,      1.0000,  13580.6516,      0.0020,     26.0000,  14482.2384,      0.0000,     24.0000,  14594.5444,      0.0000,     24.0000
health_private_surv8,0,      1.0000,   -213.1453,      0.1820,     35.0000,    588.5119,      0.1170,     33.0000,    588.5119,      0.1170,     33.0000
health_private_surv9,0,      1.0000,      0.8208,      0.9932,     35.0000,    310.6892,      0.1493,     33.0000,    310.6892,      0.1493,     33.0000
health_private_surv10,0,      2.0000,     41.8827,      0.6358,     34.0000,    158.0629,      0.1234,     33.0000,    158.0629,      0.1234,     33.0000
health_private_surv11,0,      2.0000,     21.7396,      0.8498,     34.0000,    170.3790,      0.2156,     33.0000,    170.3790,      0.2156,     33.0000
health_private_surv12,0,      2.0000,      1.2592,      0.9961,     34.0000,    103.4161,      0.6652,     33.0000,    103.4161,      0.6652,     33.0000
health_private_surv13,0,      2.0000,    -46.3400,      0.8256,     34.0000,    119.6664,      0.6297,     33.0000,    119.6664,      0.6297,     33.0000
health_private_surv14,0,      2.0000,    878.7899,      0.6999,     34.0000,   2706.6949,      0.3766,     33.0000,   2706.6949,      0.3766,     33.0000
health_private_surv15,0,      2.0000,   -327.2949,      0.0046,     34.0000,     -6.1884,      0.9488,     33.0000,     -6.1884,      0.9488,     33.0000
health_private_surv16,0,      2.0000,   -789.2913,      0.2183,     34.0000,   -748.0190,      0.2285,     33.0000,   -748.0190,      0.2285,     33.0000
health_private_surv17,0,      2.0000,  -1031.8426,      0.0859,     34.0000,   -786.0546,      0.1500,     33.0000,   -786.0546,      0.1500,     33.0000
health_private_surv18,0,      2.0000,   -756.6327,      0.0909,     34.0000,   -768.8097,      0.0962,     33.0000,   -768.8097,      0.0962,     33.0000
