rowname,draw,ddraw,itt_noctrl,itt_noctrl_p,itt_noctrl_N,itt_ctrl,itt_ctrl_p,itt_ctrl_N,itt_wctrl,itt_wctrl_p,itt_wctrl_N
health_private_surv10,0,      0.0000,    100.0869,      0.3462,     72.0000,     60.8526,      0.5177,     61.0000,     60.8526,      0.5177,     61.0000
health_private_surv11,0,      0.0000,    409.9747,      0.4229,     72.0000,    843.7390,      0.1881,     61.0000,    843.7390,      0.1881,     61.0000
health_private_surv12,0,      0.0000,  -2087.5244,      0.0451,     72.0000,  -3462.2967,      0.0117,     61.0000,  -3462.2967,      0.0117,     61.0000
health_private_surv13,0,      0.0000,     71.7143,      0.6310,     72.0000,      2.7758,      0.9843,     61.0000,      2.7758,      0.9843,     61.0000
health_private_surv14,0,      0.0000,    718.0647,      0.4527,     72.0000,    487.0698,      0.5959,     61.0000,    487.0698,      0.5959,     61.0000
health_private_surv15,0,      0.0000,     75.5407,      0.6735,     72.0000,     94.4854,      0.5895,     61.0000,     94.4854,      0.5895,     61.0000
health_private_surv16,0,      0.0000,   1078.1233,      0.5064,     72.0000,     14.7980,      0.9764,     61.0000,     14.7980,      0.9764,     61.0000
health_private_surv17,0,      0.0000,    474.7133,      0.6631,     72.0000,   -342.0179,      0.4215,     61.0000,   -342.0179,      0.4215,     61.0000
health_private_surv18,0,      0.0000,    784.9272,      0.5033,     72.0000,    -79.8295,      0.8248,     61.0000,    -79.8295,      0.8248,     61.0000
health_private_surv19,0,      0.0000,    911.0877,      0.5504,     72.0000,    -27.8369,      0.9467,     61.0000,    -27.8369,      0.9467,     61.0000
health_private_surv20,0,      0.0000,    896.5204,      0.3741,     72.0000,     59.0878,      0.9317,     61.0000,     59.0878,      0.9317,     61.0000
health_private_surv21,0,      0.0000,    285.5718,      0.6510,     72.0000,    -72.7978,      0.9039,     61.0000,    -72.7978,      0.9039,     61.0000
health_private_surv22,0,      0.0000,   1054.6254,      0.0758,     72.0000,    708.7255,      0.2434,     61.0000,    708.7255,      0.2434,     61.0000
health_private_surv23,0,      0.0000,    836.7876,      0.0891,     72.0000,    750.9912,      0.0877,     61.0000,    750.9912,      0.0877,     61.0000
health_private_surv24,0,      0.0000,    856.0384,      0.1009,     72.0000,    799.7298,      0.1318,     61.0000,    799.7298,      0.1318,     61.0000
health_private_surv25,0,      0.0000,    786.4574,      0.2221,     72.0000,    384.3704,      0.4785,     61.0000,    384.3704,      0.4785,     61.0000
health_private_surv26,0,      0.0000,    713.7985,      0.1785,     72.0000,    383.4475,      0.4850,     61.0000,    383.4475,      0.4850,     61.0000
health_private_surv27,0,      0.0000,    670.1342,      0.1999,     72.0000,    325.0193,      0.5460,     61.0000,    325.0193,      0.5460,     61.0000
health_private_surv28,0,      0.0000,    554.3478,      0.1588,     72.0000,    156.0691,      0.6540,     61.0000,    156.0691,      0.6540,     61.0000
health_private_surv29,0,      0.0000,    595.0396,      0.1160,     72.0000,    340.0047,      0.2924,     61.0000,    340.0047,      0.2924,     61.0000
health_private_surv30,0,      0.0000,     80.4892,      0.9479,     24.0000,   -836.9094,      0.5889,     18.0000,   -877.6779,      0.5884,     18.0000
health_private_surv31,0,      0.0000,    169.5665,      0.8628,     34.0000,   -305.8412,      0.7952,     27.0000,   -387.1326,      0.7545,     27.0000
health_private_surv32,0,      0.0000,   1013.4695,      0.2447,     44.0000,    554.5091,      0.5855,     37.0000,    671.1908,      0.5136,     37.0000
health_private_surv33,0,      0.0000,    861.5689,      0.3120,     44.0000,    338.0089,      0.7350,     37.0000,    449.0198,      0.6554,     37.0000
health_private_surv34,0,      0.0000,    860.3269,      0.3125,     44.0000,    250.9459,      0.8047,     37.0000,    334.5482,      0.7418,     37.0000
health_private_surv35,0,      0.0000,   1017.6782,      0.2514,     44.0000,    446.2224,      0.6755,     37.0000,    526.7301,      0.6206,     37.0000
health_private_surv36,0,      0.0000,    927.1768,      0.3057,     44.0000,    426.4045,      0.6951,     37.0000,    519.9339,      0.6334,     37.0000
health_private_surv37,0,      0.0000,    630.1881,      0.4844,     44.0000,     43.6840,      0.9672,     37.0000,    149.3394,      0.8890,     37.0000
health_private_surv38,0,      0.0000,    466.1281,      0.6104,     44.0000,   -228.7683,      0.8293,     37.0000,   -113.1726,      0.9154,     37.0000
health_private_surv39,0,      0.0000,    650.0158,      0.4840,     44.0000,     75.4118,      0.9426,     37.0000,    205.9714,      0.8456,     37.0000
health_private_surv40,0,      0.0000,    875.1983,      0.3491,     44.0000,    386.2549,      0.7166,     37.0000,    527.7695,      0.6237,     37.0000
health_private_surv41,0,      0.0000,   1122.0171,      0.2034,     45.0000,    506.3697,      0.6135,     38.0000,    621.2989,      0.5423,     38.0000
health_private_surv42,0,      0.0000,   1114.8844,      0.2185,     45.0000,    358.5139,      0.7260,     38.0000,    480.2175,      0.6453,     38.0000
health_private_surv43,0,      0.0000,   1099.1819,      0.2209,     45.0000,    386.0284,      0.6964,     38.0000,    488.3845,      0.6272,     38.0000
health_private_surv44,0,      0.0000,   1076.0765,      0.2341,     45.0000,    429.5881,      0.6613,     38.0000,    516.2526,      0.6031,     38.0000
health_private_surv45,0,      0.0000,   1216.9789,      0.1936,     45.0000,    576.6567,      0.5622,     38.0000,    663.2314,      0.5099,     38.0000
health_private_surv46,0,      0.0000,   1514.0361,      0.1295,     45.0000,    852.4160,      0.4175,     38.0000,    937.2859,      0.3749,     38.0000
health_private_surv47,0,      0.0000,   1876.3599,      0.0781,     45.0000,   1090.0932,      0.3149,     38.0000,   1220.7020,      0.2646,     38.0000
health_private_surv48,0,      0.0000,   2042.9345,      0.0756,     45.0000,   1077.2795,      0.3544,     38.0000,   1246.2511,      0.2940,     38.0000
health_private_surv49,0,      0.0000,   1783.7710,      0.1315,     45.0000,    796.2908,      0.5033,     38.0000,    896.3226,      0.4603,     38.0000
health_private_surv50,0,      0.0000,   1626.7083,      0.1919,     45.0000,    647.2553,      0.6050,     38.0000,    696.0081,      0.5839,     38.0000
health_private_surv51,0,      0.0000,   2063.5136,      0.1091,     45.0000,   1079.8356,      0.3820,     38.0000,   1157.7682,      0.3564,     38.0000
health_private_surv52,0,      0.0000,   2414.9913,      0.0736,     45.0000,   1370.1068,      0.2716,     38.0000,   1463.4336,      0.2475,     38.0000
