age5,age15,age34,fiq,fach,fse,fmlabor,fparent,fedu,femp,fcrime,frisk,fhealth,fall
9,5,7,9,7,9,7,9,5,9,11,3,7,5
9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571,9.228571
4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301,4.602301
-0.1065453,-1.971089,-1.038817,-0.1065453,-1.038817,-0.1065453,-1.038817,-0.1065453,-1.971089,-0.1065453,0.8257264,-2.90336,-1.038817,-1.971089
0.6434299,0.05971143,0.2786059,0.6434299,0.2786059,0.6434299,0.2786059,0.6434299,0.05971143,0.6434299,0.9087565,0.004987829,0.2786059,0.05971143
0.4575748,0.02435686,0.1494449,0.4575748,0.1494449,0.4575748,0.1494449,0.4575748,0.02435686,0.4575748,0.7955203,0.001845907,0.1494449,0.02435686
11,8,9,6,10,9,7,11,13,11,9,7,6,10
10.23077,10.25641,10.23077,10.25641,10.25641,10.23077,10.23077,10.23077,10.23077,10.23077,10.23077,10.23077,10.25641,10.25641
5.10475,5.131759,5.10475,5.131759,5.131759,5.10475,5.10475,5.10475,5.10475,5.10475,5.10475,5.10475,5.131759,5.131759
0.3404626,-0.9960587,-0.5447402,-1.878929,-0.1131885,-0.5447402,-1.429943,0.3404626,1.225665,0.3404626,-0.5447402,-1.429943,-1.878929,-0.1131885
0.7885045,0.2854321,0.4583632,0.06926816,0.6312944,0.4583632,0.1557337,0.7885045,0.9578077,0.7885045,0.4583632,0.1557337,0.06926816,0.6312944
0.6332459,0.1596108,0.2929661,0.0301271,0.4549406,0.2929661,0.0763667,0.6332459,0.8898377,0.6332459,0.2929661,0.0763667,0.0301271,0.4549406
