index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1
0,\% of Pos. TE ($H_0$: $\le$ 50\%),point,73.4042553191,77.8947368421,50.5263157895,54.7368421053,47.3684210526,74.4680851064,77.8947368421,78.9473684211
1,\% of Pos. TE ($H_0$: $\le$ 50\%),pval,0.0,0.0,0.539473684211,0.342105263158,0.657894736842,0.0,0.0,0.0
2,\% of Pos. TE ($H_0$: $\le$ 50\%),se,8.94341978667,9.02160847432,7.78915706723,9.06929944556,8.15633945989,9.90487719026,9.11615094983,9.59854016231
3,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),point,27.6595744681,29.4736842105,14.7368421053,12.6315789474,14.7368421053,28.7234042553,25.2631578947,29.4736842105
4,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),pval,0.0263157894737,0.0,0.289473684211,0.263157894737,0.276315789474,0.0131578947368,0.0131578947368,0.0131578947368
5,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),se,8.40470569871,7.36715908609,7.70805879402,5.31363005731,7.38449630947,8.49137718419,7.46010416471,9.38561523978
