index,category,stat,itt_noctrl,itt_wctrl,itt_noctrl_p0,itt_wctrl_p0,epan_ipw_p0,itt_noctrl_p1,itt_wctrl_p1,epan_ipw_p1
0,\% of Pos. TE ($H_0$: $\le$ 50\%),point,77.0642201835,77.0642201835,77.0642201835,75.0,74.3119266055,79.8165137615,71.5596330275,78.8990825688
1,\% of Pos. TE ($H_0$: $\le$ 50\%),pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,\% of Pos. TE ($H_0$: $\le$ 50\%),se,5.54186134433,5.66031910346,5.84291978024,5.29646793172,5.66075645303,6.59703349806,6.14290422015,6.119620853
3,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),point,52.2935779817,43.119266055,37.6146788991,41.6666666667,42.2018348624,44.9541284404,35.7798165138,46.7889908257
4,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),pval,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,\% of Pos. TE ($H_0$: $\le$ 10\% $|$ 10\% Significance),se,7.52691868454,6.32700708113,7.63573226692,6.75357452784,7.54479245562,7.61902340406,6.15323500355,7.74986516992
