mset1control	mset1treat	mset2control	mset2treat	mset3control	mset3treat	mset4	num	label
224157.5	222971.8	179286.5	178671.6	224363.3	221137.7	180511.9	1	"mean"
78627.11	78130.87	60968.3	60148.82	80206.41	77816.73	60930.6	2	"semean"
