rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv38,0,      1.0000,,      0.0000
health_private_surv39,0,      1.0000,,      0.0000
health_private_surv40,0,      1.0000,,      0.0000
health_private_surv41,0,      1.0000,,      0.0000
health_private_surv42,0,      1.0000,,      0.0000
health_private_surv43,0,      1.0000,,      0.0000
health_private_surv44,0,      1.0000,,      0.0000
health_private_surv45,0,      1.0000,,      0.0000
health_private_surv46,0,      1.0000,,      0.0000
health_private_surv47,0,      1.0000,,      0.0000
health_private_surv48,0,      1.0000,,      0.0000
health_private_surv49,0,      1.0000,,      0.0000
health_private_surv50,0,      1.0000,,      0.0000
health_private_surv51,0,      1.0000,,      0.0000
health_private_surv52,0,      1.0000,,      0.0000
health_private_surv53,0,      1.0000,,      0.0000
health_private_surv54,0,      1.0000,,      0.0000
health_private_surv55,0,      1.0000,,      0.0000
health_private_surv56,0,      1.0000,,      0.0000
health_private_surv57,0,      1.0000,,      0.0000
health_private_surv58,0,      1.0000,,      0.0000
health_private_surv59,0,      1.0000,,      0.0000
health_private_surv60,0,      1.0000,,      0.0000
health_private_surv61,0,      1.0000,,      0.0000
health_private_surv62,0,      1.0000,,      0.0000
health_private_surv63,0,      1.0000,,      0.0000
health_private_surv64,0,      1.0000,,      0.0000
health_private_surv65,0,      1.0000,,      0.0000
health_private_surv66,0,      1.0000,,      0.0000
health_private_surv67,0,      1.0000,,      0.0000
health_private_surv68,0,      1.0000,,      0.0000
health_private_surv69,0,      1.0000,,      0.0000
health_private_surv70,0,      1.0000,,      0.0000
health_private_surv71,0,      1.0000,,      0.0000
health_private_surv72,0,      1.0000,,      0.0000
health_private_surv73,0,      1.0000,,      0.0000
health_private_surv74,0,      1.0000,,      0.0000
health_private_surv75,0,      1.0000,,      0.0000
health_private_surv76,0,      1.0000,,      0.0000
health_private_surv77,0,      1.0000,,      0.0000
health_private_surv78,0,      1.0000,,      0.0000
health_private_surv79,0,      1.0000,,      0.0000
health_private_surv8,0,      1.0000,,      0.0000
health_private_surv9,0,      1.0000,,      0.0000
health_private_surv10,0,      2.0000,    396.0723,     27.0000
health_private_surv11,0,      2.0000,   1099.7639,     27.0000
health_private_surv12,0,      2.0000, -12535.3906,     26.0000
health_private_surv13,0,      2.0000,    288.0941,     26.0000
health_private_surv14,0,      2.0000,    188.4404,     26.0000
health_private_surv15,0,      2.0000,    310.6636,     26.0000
health_private_surv16,0,      2.0000,    599.7581,     26.0000
health_private_surv17,0,      2.0000,    159.1677,     26.0000
health_private_surv18,0,      2.0000,    -55.8565,     26.0000
health_private_surv19,0,      2.0000,    364.9708,     26.0000
health_private_surv20,0,      2.0000,    237.6946,     26.0000
health_private_surv21,0,      2.0000,    -48.4202,     26.0000
health_private_surv22,0,      2.0000,   3522.0421,     26.0000
health_private_surv23,0,      2.0000,   1817.5837,     26.0000
health_private_surv24,0,      2.0000,   2483.1657,     26.0000
health_private_surv25,0,      2.0000,   1653.4612,     26.0000
health_private_surv26,0,      2.0000,   1706.2161,     26.0000
health_private_surv27,0,      2.0000,   1626.4251,     26.0000
health_private_surv28,0,      2.0000,   1112.5722,     26.0000
health_private_surv29,0,      2.0000,   1592.8524,     26.0000
health_private_surv30,0,      2.0000,  -3098.3652,     10.0000
health_private_surv31,0,      2.0000,  -3001.7329,     10.0000
health_private_surv32,0,      2.0000,  -2946.7376,     10.0000
health_private_surv33,0,      2.0000,  -2817.8748,     10.0000
health_private_surv34,0,      2.0000,  -2689.0122,     10.0000
health_private_surv35,0,      2.0000,  -2568.8931,     10.0000
health_private_surv36,0,      2.0000,  -2448.7736,     10.0000
health_private_surv37,0,      2.0000,  -2604.0178,     10.0000
health_private_surv38,0,      2.0000,  -2759.2610,     10.0000
health_private_surv39,0,      2.0000,  -2618.5075,     10.0000
health_private_surv40,0,      2.0000,  -2477.7536,     10.0000
health_private_surv41,0,      2.0000,  -2775.1630,     10.0000
health_private_surv42,0,      2.0000,  -3072.5727,     10.0000
health_private_surv43,0,      2.0000,  -2846.5292,     10.0000
health_private_surv44,0,      2.0000,  -2620.4856,     10.0000
health_private_surv45,0,      2.0000,  -3525.6684,     10.0000
health_private_surv46,0,      2.0000,  -4430.8506,     10.0000
health_private_surv47,0,      2.0000,  -3754.9436,     10.0000
health_private_surv48,0,      2.0000,  -3079.0366,     10.0000
health_private_surv49,0,      2.0000,  -3468.3144,     10.0000
health_private_surv50,0,      2.0000,  -3857.5912,     10.0000
health_private_surv51,0,      2.0000,  -3714.2572,     10.0000
health_private_surv52,0,      2.0000,  -3570.9231,     10.0000
health_private_surv53,0,      2.0000,  -3311.2994,     10.0000
health_private_surv54,0,      2.0000,  -3051.6757,     10.0000
health_private_surv55,0,      2.0000,  -3710.7465,     10.0000
health_private_surv56,0,      2.0000,  -4369.8182,     10.0000
health_private_surv57,0,      2.0000,  -4478.0507,     10.0000
health_private_surv58,0,      2.0000,  -4586.2848,     10.0000
health_private_surv59,0,      2.0000,  -3849.4899,     10.0000
health_private_surv60,0,      2.0000,  -3112.6961,     10.0000
health_private_surv61,0,      2.0000,  -3896.7417,     10.0000
health_private_surv62,0,      2.0000,  -4680.7863,     10.0000
health_private_surv63,0,      2.0000,  -5431.9119,     10.0000
health_private_surv64,0,      2.0000,  -6183.0388,     10.0000
health_private_surv65,0,      2.0000,  -4900.8017,     10.0000
health_private_surv66,0,      2.0000,  -3618.5641,     10.0000
health_private_surv67,0,      2.0000,  -3453.8170,     10.0000
health_private_surv68,0,      2.0000,  -3289.0683,     10.0000
health_private_surv69,0,      2.0000,  -2717.9004,     10.0000
health_private_surv70,0,      2.0000,  -2146.7309,     10.0000
health_private_surv71,0,      2.0000,  -1912.6454,     10.0000
health_private_surv72,0,      2.0000,  -1678.5525,     10.0000
health_private_surv73,0,      2.0000,  -2774.7681,     10.0000
health_private_surv74,0,      2.0000,  -3870.9796,     10.0000
health_private_surv75,0,      2.0000,  -4741.3809,     10.0000
health_private_surv76,0,      2.0000,  -5611.7844,     10.0000
health_private_surv77,0,      2.0000,  -5010.6703,     10.0000
health_private_surv78,0,      2.0000,  -4409.5625,     10.0000
health_private_surv79,0,      2.0000,  -3714.6246,     10.0000
health_private_surv8,0,      2.0000,     22.9080,     10.0000
health_private_surv9,0,      2.0000,    -76.4560,     10.0000
health_private_surv10,0,      3.0000,    400.0447,     31.0000
health_private_surv11,0,      3.0000,   1333.5227,     31.0000
health_private_surv12,0,      3.0000, -20992.1314,     30.0000
health_private_surv13,0,      3.0000,     49.3712,     30.0000
health_private_surv14,0,      3.0000,     77.2598,     30.0000
health_private_surv15,0,      3.0000,    243.6134,     30.0000
health_private_surv16,0,      3.0000,    -69.3805,     30.0000
health_private_surv17,0,      3.0000,   -654.9434,     30.0000
health_private_surv18,0,      3.0000,   -508.6802,     30.0000
health_private_surv19,0,      3.0000,   -258.6148,     30.0000
health_private_surv20,0,      3.0000,   -847.8912,     30.0000
health_private_surv21,0,      3.0000,  -2113.9567,     30.0000
health_private_surv22,0,      3.0000,   1328.1147,     30.0000
health_private_surv23,0,      3.0000,   1363.2569,     30.0000
health_private_surv24,0,      3.0000,   1839.6877,     30.0000
health_private_surv25,0,      3.0000,   1080.5770,     30.0000
health_private_surv26,0,      3.0000,   1245.0364,     30.0000
health_private_surv27,0,      3.0000,   1440.4294,     30.0000
health_private_surv28,0,      3.0000,    688.4175,     30.0000
health_private_surv29,0,      3.0000,    835.9480,     30.0000
health_private_surv30,0,      3.0000,  -1942.0973,     10.0000
health_private_surv31,0,      3.0000,  -1586.2723,     10.0000
health_private_surv32,0,      3.0000,  -1219.9924,     10.0000
health_private_surv33,0,      3.0000,  -1466.2437,     10.0000
health_private_surv34,0,      3.0000,  -1712.4949,     10.0000
health_private_surv35,0,      3.0000,  -1695.8117,     10.0000
health_private_surv36,0,      3.0000,  -1679.1280,     10.0000
health_private_surv37,0,      3.0000,  -1144.4359,     10.0000
health_private_surv38,0,      3.0000,   -609.7440,     10.0000
health_private_surv39,0,      3.0000,   -955.0550,     10.0000
health_private_surv40,0,      3.0000,  -1300.3658,     10.0000
health_private_surv41,0,      3.0000,  -1529.1606,     10.0000
health_private_surv42,0,      3.0000,  -1757.9556,     10.0000
health_private_surv43,0,      3.0000,  -1618.5535,     10.0000
health_private_surv44,0,      3.0000,  -1479.1504,     10.0000
health_private_surv45,0,      3.0000,  -1185.4388,     10.0000
health_private_surv46,0,      3.0000,   -891.7263,     10.0000
health_private_surv47,0,      3.0000,  -1030.8253,     10.0000
health_private_surv48,0,      3.0000,  -1169.9243,     10.0000
health_private_surv49,0,      3.0000,   -957.2984,     10.0000
health_private_surv50,0,      3.0000,   -744.6703,     10.0000
health_private_surv51,0,      3.0000,  -1331.1930,     10.0000
health_private_surv52,0,      3.0000,  -1917.7149,     10.0000
health_private_surv53,0,      3.0000,  -1710.9763,     10.0000
health_private_surv54,0,      3.0000,  -1504.2378,     10.0000
health_private_surv55,0,      3.0000,   -916.5236,     10.0000
health_private_surv56,0,      3.0000,   -328.8112,     10.0000
health_private_surv57,0,      3.0000,  -1488.2313,     10.0000
health_private_surv58,0,      3.0000,  -2647.6516,     10.0000
health_private_surv59,0,      3.0000,  -1841.8483,     10.0000
health_private_surv60,0,      3.0000,  -1036.0437,     10.0000
health_private_surv61,0,      3.0000,  -1993.4172,     10.0000
health_private_surv62,0,      3.0000,  -2950.7942,     10.0000
health_private_surv63,0,      3.0000,  -2009.3588,     10.0000
health_private_surv64,0,      3.0000,  -1067.9248,     10.0000
health_private_surv65,0,      3.0000,     31.1133,     10.0000
health_private_surv66,0,      3.0000,   1130.1531,     10.0000
health_private_surv67,0,      3.0000,   1416.1536,     10.0000
health_private_surv68,0,      3.0000,   1702.1613,     10.0000
health_private_surv69,0,      3.0000,   1245.5729,     10.0000
health_private_surv70,0,      3.0000,    788.9896,     10.0000
health_private_surv71,0,      3.0000,   -850.3066,     10.0000
health_private_surv72,0,      3.0000,  -2489.6073,     10.0000
health_private_surv73,0,      3.0000,  -1848.1727,     10.0000
health_private_surv74,0,      3.0000,  -1206.7527,     10.0000
health_private_surv75,0,      3.0000,   -459.4139,     10.0000
health_private_surv76,0,      3.0000,    287.9378,     10.0000
health_private_surv77,0,      3.0000,   -935.1096,     10.0000
health_private_surv78,0,      3.0000,  -2158.1614,     10.0000
health_private_surv79,0,      3.0000,  -1643.1346,     10.0000
health_private_surv8,0,      3.0000,     79.1728,     10.0000
health_private_surv9,0,      3.0000,   -283.2191,     10.0000
