rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv10,0,      0.0000,     55.3494,     58.0000
health_private_surv11,0,      0.0000,    429.5258,     58.0000
health_private_surv12,0,      0.0000,  -2342.4287,     58.0000
health_private_surv13,0,      0.0000,     -6.5106,     58.0000
health_private_surv14,0,      0.0000,    426.5369,     58.0000
health_private_surv15,0,      0.0000,    -18.0006,     58.0000
health_private_surv16,0,      0.0000,     25.8575,     58.0000
health_private_surv17,0,      0.0000,   -448.5089,     58.0000
health_private_surv18,0,      0.0000,    -78.4654,     58.0000
health_private_surv19,0,      0.0000,    -84.6675,     58.0000
health_private_surv20,0,      0.0000,    154.1904,     58.0000
health_private_surv21,0,      0.0000,     -9.7829,     58.0000
health_private_surv22,0,      0.0000,   1069.7391,     58.0000
health_private_surv23,0,      0.0000,    654.0966,     58.0000
health_private_surv24,0,      0.0000,    805.4838,     58.0000
health_private_surv25,0,      0.0000,    516.6463,     58.0000
health_private_surv26,0,      0.0000,    622.4782,     58.0000
health_private_surv27,0,      0.0000,    591.2318,     58.0000
health_private_surv28,0,      0.0000,    397.8212,     58.0000
health_private_surv29,0,      0.0000,    458.5043,     58.0000
health_private_surv30,0,      0.0000,   -937.9022,     18.0000
health_private_surv31,0,      0.0000,   -838.8307,     18.0000
health_private_surv32,0,      0.0000,   -761.7756,     18.0000
health_private_surv33,0,      0.0000,   -775.3671,     18.0000
health_private_surv34,0,      0.0000,   -788.9587,     18.0000
health_private_surv35,0,      0.0000,   -591.3643,     18.0000
health_private_surv36,0,      0.0000,   -393.7695,     18.0000
health_private_surv37,0,      0.0000,   -709.7924,     18.0000
health_private_surv38,0,      0.0000,  -1025.8147,     18.0000
health_private_surv39,0,      0.0000,   -754.6095,     18.0000
health_private_surv40,0,      0.0000,   -483.4251,     18.0000
health_private_surv41,0,      0.0000,   -776.1555,     18.0000
health_private_surv42,0,      0.0000,  -1068.8810,     18.0000
health_private_surv43,0,      0.0000,   -709.6300,     18.0000
health_private_surv44,0,      0.0000,   -350.3788,     18.0000
health_private_surv45,0,      0.0000,   -360.3383,     18.0000
health_private_surv46,0,      0.0000,   -370.2974,     18.0000
health_private_surv47,0,      0.0000,   -797.3951,     18.0000
health_private_surv48,0,      0.0000,  -1224.4927,     18.0000
health_private_surv49,0,      0.0000,  -1199.6977,     18.0000
health_private_surv50,0,      0.0000,  -1174.9037,     18.0000
health_private_surv51,0,      0.0000,   -738.4590,     18.0000
health_private_surv52,0,      0.0000,   -302.0127,     18.0000
health_private_surv53,0,      0.0000,   -158.3831,     18.0000
health_private_surv54,0,      0.0000,    -14.7544,     18.0000
health_private_surv55,0,      0.0000,    692.4137,     18.0000
health_private_surv56,0,      0.0000,   1399.5788,     18.0000
health_private_surv57,0,      0.0000,    841.6794,     18.0000
health_private_surv58,0,      0.0000,    283.7801,     18.0000
health_private_surv59,0,      0.0000,   1818.2133,     18.0000
health_private_surv60,0,      0.0000,   3352.6443,     18.0000
health_private_surv61,0,      0.0000,   3274.5214,     18.0000
health_private_surv62,0,      0.0000,   3196.3978,     18.0000
health_private_surv63,0,      0.0000,   1724.3347,     18.0000
health_private_surv64,0,      0.0000,    252.2687,     18.0000
health_private_surv65,0,      0.0000,    913.7472,     18.0000
