rowname,draw,ddraw,epan_ipw,epan_N
health_private_surv34,0,      1.0000,  -1316.6044,     40.0000
health_private_surv35,0,      1.0000,  -1433.9803,     40.0000
health_private_surv36,0,      1.0000,  -1551.3562,     40.0000
health_private_surv37,0,      1.0000,  -1367.6793,     40.0000
health_private_surv38,0,      1.0000,  -1229.7714,     40.0000
health_private_surv39,0,      1.0000,      0.3358,     40.0000
health_private_surv40,0,      1.0000,    219.4771,     40.0000
health_private_surv41,0,      1.0000,   -142.5600,     40.0000
health_private_surv42,0,      1.0000,   -495.5132,     40.0000
health_private_surv43,0,      1.0000,   -539.3493,     40.0000
health_private_surv44,0,      1.0000,   -583.1858,     40.0000
health_private_surv45,0,      1.0000,   -559.4965,     40.0000
health_private_surv46,0,      1.0000,   -535.8074,     40.0000
health_private_surv47,0,      1.0000,   -465.9500,     40.0000
health_private_surv48,0,      1.0000,   -396.0925,     40.0000
health_private_surv49,0,      1.0000,   -277.3927,     40.0000
health_private_surv50,0,      1.0000,   -158.6931,     40.0000
health_private_surv51,0,      1.0000,   -115.3604,     40.0000
health_private_surv52,0,      1.0000,    -72.0290,     40.0000
health_private_surv53,0,      1.0000,   -378.2998,     40.0000
health_private_surv54,0,      1.0000,   -684.5708,     40.0000
health_private_surv55,0,      1.0000,   -121.5227,     40.0000
health_private_surv56,0,      1.0000,    441.5258,     40.0000
health_private_surv57,0,      1.0000,    568.2974,     40.0000
health_private_surv58,0,      1.0000,    695.0684,     40.0000
health_private_surv59,0,      1.0000,    709.5694,     40.0000
health_private_surv60,0,      1.0000,    724.0704,     40.0000
health_private_surv61,0,      1.0000,   1299.6429,     40.0000
health_private_surv62,0,      1.0000,   1875.2155,     40.0000
health_private_surv63,0,      1.0000,   1635.5613,     40.0000
health_private_surv64,0,      1.0000,   1395.9067,     40.0000
health_private_surv65,0,      1.0000,   1192.7940,     40.0000
health_private_surv66,0,      1.0000,    989.6808,     40.0000
health_private_surv67,0,      1.0000,    720.1675,     40.0000
health_private_surv68,0,      1.0000,    450.6565,     40.0000
health_private_surv69,0,      1.0000,    794.7647,     40.0000
health_private_surv70,0,      1.0000,   1138.8753,     40.0000
health_private_surv71,0,      1.0000,   1156.6927,     40.0000
health_private_surv72,0,      1.0000,   1174.5058,     40.0000
health_private_surv73,0,      1.0000,    842.7099,     40.0000
health_private_surv74,0,      1.0000,    510.9125,     40.0000
health_private_surv75,0,      1.0000,   1987.0254,     40.0000
health_private_surv76,0,      1.0000,   3463.1386,     40.0000
health_private_surv77,0,      1.0000,   1711.8420,     40.0000
health_private_surv78,0,      1.0000,    -39.4540,     40.0000
health_private_surv79,0,      1.0000,   -224.5461,     40.0000
health_private_surv8,0,      1.0000,     13.1243,     40.0000
health_private_surv9,0,      1.0000,  -1471.9033,     40.0000
health_private_surv10,0,      2.0000,     45.5713,     83.0000
health_private_surv11,0,      2.0000,    732.2801,     83.0000
health_private_surv12,0,      2.0000,    328.4541,     81.0000
health_private_surv13,0,      2.0000,     82.3573,     81.0000
health_private_surv14,0,      2.0000,  -1379.0432,     81.0000
health_private_surv15,0,      2.0000,   -421.0209,     81.0000
health_private_surv16,0,      2.0000,   -351.8238,     81.0000
health_private_surv17,0,      2.0000,   -795.9158,     81.0000
health_private_surv18,0,      2.0000,  -1175.2275,     81.0000
health_private_surv19,0,      2.0000,   -266.0056,     81.0000
health_private_surv20,0,      2.0000,   -433.0421,     81.0000
health_private_surv21,0,      2.0000,    -44.3567,     81.0000
health_private_surv22,0,      2.0000,    345.8347,     81.0000
health_private_surv23,0,      2.0000,   -240.0504,     81.0000
health_private_surv24,0,      2.0000,   -420.7601,     81.0000
health_private_surv25,0,      2.0000,    -70.1774,     81.0000
health_private_surv26,0,      2.0000,   -461.5565,     81.0000
health_private_surv27,0,      2.0000,   -153.6808,     81.0000
health_private_surv28,0,      2.0000,   -341.7552,     81.0000
health_private_surv29,0,      2.0000,   -279.5699,     81.0000
health_private_surv30,0,      2.0000,   -467.1212,     30.0000
health_private_surv31,0,      2.0000,   -225.1222,     30.0000
health_private_surv32,0,      2.0000,    -25.5861,     30.0000
health_private_surv33,0,      2.0000,     49.1875,     30.0000
health_private_surv34,0,      2.0000,    123.9612,     30.0000
health_private_surv35,0,      2.0000,    210.6949,     30.0000
health_private_surv36,0,      2.0000,    297.4286,     30.0000
health_private_surv37,0,      2.0000,    284.5173,     30.0000
health_private_surv38,0,      2.0000,    112.7975,     30.0000
health_private_surv39,0,      2.0000,    250.0229,     30.0000
health_private_surv40,0,      2.0000,    417.5418,     30.0000
health_private_surv41,0,      2.0000,    164.2594,     30.0000
health_private_surv42,0,      2.0000,    -89.0231,     30.0000
health_private_surv43,0,      2.0000,   -129.0481,     30.0000
health_private_surv44,0,      2.0000,   -169.0733,     30.0000
health_private_surv45,0,      2.0000,     80.8308,     30.0000
health_private_surv46,0,      2.0000,    330.7346,     30.0000
health_private_surv47,0,      2.0000,    308.5391,     30.0000
health_private_surv48,0,      2.0000,    286.3436,     30.0000
health_private_surv49,0,      2.0000,    476.8388,     30.0000
health_private_surv50,0,      2.0000,    667.3335,     30.0000
health_private_surv51,0,      2.0000,    728.1373,     30.0000
health_private_surv52,0,      2.0000,    788.9399,     30.0000
health_private_surv53,0,      2.0000,   1066.7631,     30.0000
health_private_surv54,0,      2.0000,   1344.5853,     30.0000
health_private_surv55,0,      2.0000,   1452.4789,     30.0000
health_private_surv56,0,      2.0000,   1560.3728,     30.0000
health_private_surv57,0,      2.0000,   1502.1543,     30.0000
health_private_surv58,0,      2.0000,   1443.9361,     30.0000
health_private_surv59,0,      2.0000,   2233.0928,     30.0000
health_private_surv60,0,      2.0000,   3022.2501,     30.0000
health_private_surv61,0,      2.0000,   2572.6387,     30.0000
health_private_surv62,0,      2.0000,   2123.0272,     30.0000
health_private_surv63,0,      2.0000,   2119.4244,     30.0000
health_private_surv64,0,      2.0000,   2115.8215,     30.0000
health_private_surv65,0,      2.0000,   2163.3324,     30.0000
health_private_surv66,0,      2.0000,   2210.8423,     30.0000
health_private_surv67,0,      2.0000,   2409.2089,     30.0000
health_private_surv68,0,      2.0000,   2607.5745,     30.0000
health_private_surv69,0,      2.0000,   2626.3509,     30.0000
health_private_surv70,0,      2.0000,   2645.1287,     30.0000
health_private_surv71,0,      2.0000,   2236.1725,     30.0000
health_private_surv72,0,      2.0000,   1827.2209,     30.0000
health_private_surv73,0,      2.0000,   1427.9681,     30.0000
health_private_surv74,0,      2.0000,   1028.7146,     30.0000
health_private_surv75,0,      2.0000,   1375.8777,     30.0000
health_private_surv76,0,      2.0000,   1723.0327,     30.0000
health_private_surv77,0,      2.0000,   2684.2322,     30.0000
health_private_surv78,0,      2.0000,   3645.4329,     30.0000
