mset1control	mset1treat	mset2control	mset2treat	mset3control	mset3treat	mset4	num	label
218673	217525.1	176638.7	175405.4	219463.3	215469.3	177551	1	"mean"
80501.77	80044.01	63499.6	62547.98	81865.14	79363.47	63501.17	2	"semean"
